Data,ONMiG_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,2.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,3.0
2020-04-07,2.0
2020-04-08,3.0
2020-04-09,1.0
2020-04-10,2.0
2020-04-11,0.0
2020-04-12,3.0
2020-04-13,3.0
2020-04-14,4.0
2020-04-15,3.0
2020-04-16,3.0
2020-04-17,2.0
2020-04-18,4.0
2020-04-19,0.0
2020-04-20,2.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,4.0
2020-04-24,3.0
2020-04-25,4.0
2020-04-26,3.0
2020-04-27,1.0
2020-04-28,9.0
2020-04-29,9.0
2020-04-30,2.0
2020-05-01,6.0
2020-05-02,0.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,4.0
2020-05-06,3.0
2020-05-07,9.0
2020-05-08,5.0
2020-05-09,7.0
2020-05-10,1.0
2020-05-11,2.0
2020-05-12,6.0
2020-05-13,8.0
2020-05-14,4.0
2020-05-15,7.0
2020-05-16,4.0
2020-05-17,6.0
2020-05-18,5.0
2020-05-19,6.0
2020-05-20,10.0
2020-05-21,14.0
2020-05-22,10.0
2020-05-23,16.0
2020-05-24,9.0
2020-05-25,4.0
2020-05-26,4.0
2020-05-27,6.0
2020-05-28,15.0
2020-05-29,2.0
2020-05-30,6.0
2020-05-31,8.0
2020-06-01,7.0
2020-06-02,11.0
2020-06-03,17.0
2020-06-04,17.0
2020-06-05,21.0
2020-06-06,24.0
2020-06-07,8.0
2020-06-08,4.0
2020-06-09,19.0
2020-06-10,10.0
2020-06-11,22.0
2020-06-12,15.0
2020-06-13,8.0
2020-06-14,21.0
2020-06-15,6.0
2020-06-16,21.0
2020-06-17,35.0
2020-06-18,33.0
2020-06-19,30.0
2020-06-20,36.0
2020-06-21,25.0
